epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8041,1.1309,3.70151,1.15922,0.03731,0.65903,0.07605,0.05747,0.94822,3.67088,1.03243,0.0674231,0.00032906,0.00032906
2,23.5054,1.04266,2.41673,1.1165,0.28426,0.44055,0.29237,0.20665,0.99842,2.53401,1.16254,0.0344213,0.000660597,0.000660597
3,35.6119,0.9931,1.95561,1.11033,0.39743,0.56734,0.47621,0.36226,0.89505,2.10971,1.10221,0.00141231,0.000984956,0.000984956
4,47.1867,0.97306,1.75623,1.10475,0.59591,0.64277,0.68734,0.526,0.84246,1.35453,1.04311,0.000975773,0.000975773,0.000975773
5,58.8019,0.93083,1.57282,1.09028,0.73491,0.7488,0.81586,0.63276,0.80841,1.01631,1.03075,0.000957205,0.000957205,0.000957205
6,70.744,0.90175,1.46513,1.07902,0.74653,0.7297,0.82631,0.64372,0.79134,1.05125,1.04295,0.000933683,0.000933683,0.000933683
7,82.3863,0.89056,1.38512,1.07184,0.79464,0.79679,0.88641,0.70138,0.77233,0.88633,1.00384,0.000905463,0.000905463,0.000905463
8,93.9824,0.8583,1.31229,1.05689,0.81346,0.78635,0.88127,0.68573,0.83082,0.87895,1.01665,0.000872857,0.000872857,0.000872857
9,105.536,0.84213,1.25562,1.04839,0.83011,0.82515,0.90083,0.71534,0.7651,0.77452,1.00034,0.00083622,0.00083622,0.00083622
10,117.058,0.83533,1.23283,1.04753,0.82992,0.8125,0.89367,0.71192,0.75692,0.7858,0.99636,0.000795954,0.000795954,0.000795954
11,128.577,0.81696,1.17231,1.0355,0.82536,0.81016,0.89012,0.70612,0.76795,0.79214,1.00893,0.0007525,0.0007525,0.0007525
12,140.033,0.80315,1.13071,1.03136,0.86405,0.84938,0.92382,0.74566,0.74172,0.70536,0.98088,0.000706335,0.000706335,0.000706335
13,151.564,0.79948,1.10418,1.03037,0.86883,0.84797,0.93107,0.74914,0.71777,0.67102,0.98228,0.000657963,0.000657963,0.000657963
14,162.938,0.77684,1.07033,1.01995,0.90167,0.86624,0.94481,0.7602,0.72113,0.61636,0.98765,0.000607916,0.000607916,0.000607916
15,174.325,0.77823,1.05056,1.02153,0.88899,0.88793,0.94971,0.75926,0.75085,0.60747,0.98847,0.000556742,0.000556742,0.000556742
16,185.75,0.75585,1.00545,1.01305,0.8915,0.89132,0.95066,0.77344,0.70012,0.5837,0.97279,0.000505,0.000505,0.000505
17,197.239,0.739,0.98315,1.00528,0.90918,0.89867,0.95831,0.78239,0.69247,0.54435,0.97051,0.000453258,0.000453258,0.000453258
18,208.739,0.7416,0.9547,1.00816,0.92807,0.90825,0.96572,0.78853,0.68929,0.51557,0.96866,0.000402084,0.000402084,0.000402084
19,220.196,0.7248,0.93486,1.00199,0.92911,0.90366,0.96668,0.79356,0.68191,0.50091,0.96143,0.000352037,0.000352037,0.000352037
20,231.614,0.71537,0.91144,0.99869,0.91784,0.92142,0.9695,0.79464,0.68344,0.48845,0.96517,0.000303665,0.000303665,0.000303665
21,243.113,0.70723,0.88488,0.99429,0.94135,0.9138,0.97133,0.79751,0.67754,0.47655,0.96401,0.0002575,0.0002575,0.0002575
22,254.559,0.69814,0.86321,0.98646,0.93298,0.91489,0.97085,0.79324,0.69956,0.47593,0.96746,0.000214046,0.000214046,0.000214046
23,265.987,0.68388,0.84159,0.98342,0.92725,0.92325,0.9726,0.80521,0.66206,0.45628,0.9544,0.00017378,0.00017378,0.00017378
24,277.42,0.68404,0.82897,0.98433,0.94512,0.92296,0.9753,0.80408,0.67132,0.44164,0.95818,0.000137143,0.000137143,0.000137143
25,288.964,0.68036,0.82026,0.98383,0.93089,0.93557,0.97503,0.80855,0.66361,0.4359,0.95494,0.000104537,0.000104537,0.000104537
26,300.253,0.67119,0.80807,0.97952,0.94137,0.92977,0.97534,0.81096,0.65537,0.43169,0.95166,7.63174e-05,7.63174e-05,7.63174e-05
27,311.709,0.66396,0.79387,0.97426,0.94043,0.93408,0.97565,0.81006,0.65855,0.42349,0.95274,5.2795e-05,5.2795e-05,5.2795e-05
28,323.132,0.65891,0.78378,0.9767,0.9415,0.93953,0.97659,0.81282,0.65365,0.41788,0.95207,3.4227e-05,3.4227e-05,3.4227e-05
29,334.466,0.65756,0.77912,0.9726,0.93712,0.93881,0.97651,0.81259,0.65072,0.41831,0.95139,2.08169e-05,2.08169e-05,2.08169e-05
30,345.953,0.66165,0.78313,0.97443,0.94572,0.93227,0.97696,0.81262,0.65255,0.4163,0.95143,1.27117e-05,1.27117e-05,1.27117e-05
